책이름,저자,역자,출판일,페이지수,정가,할인가,적립마일리지
"IT CookBook, 처음 만나는 회로이론(2판)",방성완 ,x,2021-07-02,400 쪽,"23,000","23,000",690점 (3%)
안전필수 시스템 제어 설계,"김국헌 , 김태효 , 이성섭 ",x,2021-07-02,488 쪽,"38,000","38,000","1,140점 (3%)"
데이터 스토리,낸시 두아르테 ," 권혜정 , 윤영진(감수) ",2021-07-01,240 쪽,"22,000","19,800","1,100점 (5%)"
러닝 리액트(2판),"알렉스 뱅크스 , 이브 포셀로 ", 오현석 ,2021-07-01,396 쪽,"28,000","25,200","1,400점 (5%)"
상식의 재구성,조선희 ,x,2021-07-01,560 쪽,"22,000","19,800","1,100점 (5%)"
업무에 바로 쓰는 SQL 튜닝,양바른 ,x,2021-07-01,296 쪽,"22,000","19,800","1,100점 (5%)"
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영 ,x,2021-06-30,624 쪽,"29,000","29,000",870점 (3%)
"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은 ,x,2021-06-30,548 쪽,"30,000","30,000",900점 (3%)
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수 ,x,2021-06-30,560 쪽,"30,000","30,000",900점 (3%)
"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍 ,x,2021-06-30,580 쪽,"29,000","29,000",870점 (3%)
찾아도 찾아도 끝판왕 1000개 숨은그림찾기 숲속 놀이터,클레어 스탬퍼 ,x,2021-06-30,96 쪽,"8,000","7,200",400점 (5%)
찾아도 찾아도 끝판왕 1000개 숨은그림찾기 우리 동네,자나 컬 ,x,2021-06-30,96 쪽,"8,000","7,200",400점 (5%)
처음 배우는 네트워크 보안,장상근(맥스) ,x,2021-06-30,324 쪽,"28,000","25,200","1,400점 (5%)"
"IT CookBook, 난생처음 파이썬 프로그래밍","우재남 , 최민아 ",x,2021-06-28,428 쪽,"24,000","24,000",720점 (3%)
"IT CookBook, 정보 보안 개론(4판)",양대일 ,x,2021-06-28,568 쪽,"30,000","30,000",900점 (3%)
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태 , 정윤수 , 박길철 ",x,2021-06-28,472 쪽,"24,000","24,000",720점 (3%)
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh , 한빛수학교재연구소 ,2021-06-28,580 쪽,"32,000","32,000",960점 (3%)
"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott) ," 한빛수학교재연구소 , 김세익(감수) ",2021-06-28,384 쪽,"26,000","26,000",780점 (3%)
초보 판매자가 빅파워셀러로 거듭나는 네이버 스마트스토어 마케팅 시작하기,정진수 ,x,2021-06-28,252 쪽,"17,800","16,020",890점 (5%)
